file	title	video_id	words
10x-reimagining-mobile-development-workflow-orel-zion-stag-build.txt	10x - Reimagining Mobile Development Workflow - Orel Zion, stag.build	rCVVsxHWai8	1323
20-days-of-compute-vs-7-hours-rethinking-what-state-of-the-art-means-b.txt	20 days of compute vs 7 hours: rethinking what state-of-the-art means — Bertrand Charpentier, Pruna	hqHC6Z_lXyo	3315
500-people-vibe-coded-for-30-days-i-was-one-of-them-sanja-grbic-automa.txt	500 people vibe-coded for 30 days. I was one of them. - Sanja Grbic, Automattic	UcYoMg-8-L8	2644
6-things-to-know-about-aie-world-s-fair-2026.txt	6 Things to Know about AIE World's Fair 2026	0S8xe9ftGTM	3479
a-genius-with-amnesia-victor-savkin-nx.txt	A Genius With Amnesia - Victor Savkin, Nx	jVjt-2g8NMY	3355
a-song-of-types-and-agents-roberto-stagi-ratel.txt	A Song of Types and Agents - Roberto Stagi, Ratel	UlFB6efYN5Q	1756
agent-output-is-not-ux-rendering-layer-your-llm-pipeline-is-missing-ba.txt	Agent Output Is Not UX: Rendering Layer Your LLM Pipeline Is Missing - Bala Ramdoss, Amazon	maTp79FD9gI	2032
agents-building-agents-alfonso-graziano-nearform.txt	Agents Building Agents - Alfonso Graziano, Nearform	aHhB3sjGjkI	4742
agents-in-production-how-opengov-built-and-scaled-og-assist-gabe-de-me.txt	Agents in Production: How OpenGov Built and Scaled OG Assist - Gabe De Mesa, OpenGov	4uFVSLgD2Q4	3047
agents-need-receipts-not-more-tool-calls-armanas-povilionis-alithea-bi.txt	Agents Need Receipts, Not More Tool Calls - Armanas Povilionis, Alithea Bio	Q9ycQHbDdJs	972
ai-driven-multi-document-correlation-for-financial-compliance-varsha-s.txt	AI-Driven Multi-Document Correlation for Financial Compliance - Varsha Shah, Independent	Iwe_RY-fYgI	2314
ai-system-design-from-idea-to-production-apoorva-joshi-mongodb.txt	AI System Design: From Idea to Production - Apoorva Joshi, MongoDB	T0HhO4YtTfE	4199
bdd-adr-prd-wtf-capturing-decisions-for-humans-and-ai-alike-michal-cic.txt	BDD, ADR, PRD, WTF: Capturing Decisions for Humans and AI Alike — Michal Cichra, Safe Intelligence	504PvfXou5Y	1858
benchmarking-semantic-code-retrieval-on-claude-code-kuba-rogut-turbopu.txt	Benchmarking semantic code retrieval on Claude Code — Kuba Rogut, Turbopuffer	zKk7sDMGDEQ	3286
beyond-components-designing-generative-ui-for-mcp-apps-ruben-casas-pos.txt	Beyond Components: Designing Generative UI for MCP Apps — Ruben Casas, Postman	hCMrEfPG2Yg	2616
beyond-the-harness-a-journey-towards-adaptative-engineering-rajiv-chan.txt	Beyond the Harness: A Journey Towards Adaptative Engineering - Rajiv Chandegra, Annicha Labs	qdZzND79mcg	4995
beyond-transcription-building-voice-ai-that-understands-conversations.txt	Beyond Transcription: Building Voice AI That Understands Conversations — Hervé Bredin, pyannoteAI	mFLlVpnGpds	4097
browser-agents-don-t-need-better-models-they-need-better-eyes-kushan-r.txt	Browser Agents Don't Need Better Models. They Need Better Eyes. - Kushan Raj, ARK	JnubYCYunk8	937
build-ai-systems-for-discernment-not-approval-angel-ortmann-lee-duolin.txt	Build AI Systems for Discernment, Not Approval - Angel Ortmann Lee, Duolingo	CDqzWpwkSls	4325
build-neural-networks-in-typescript-junichi-takahashi-and-raindrops.txt	Build Neural Networks in TypeScript - Junichi Takahashi, and raindrops	rX14bHH5wI0	2358
build-systems-not-code-angie-jones-agentic-ai-foundation.txt	Build Systems, Not Code - Angie Jones, Agentic AI Foundation	ZD9-4fW2HhM	3006
build-the-ai-gtm-agent-that-knows-the-buyer-dr-sajjan-kanukolanu-posit.txt	Build the AI GTM Agent That Knows the Buyer - Dr. Sajjan Kanukolanu, Position2 (Position Squared)	ltv-L5oMPIs	3961
building-agent-interfaces-lessons-from-chrome-devtools-mcp-for-agents.txt	Building Agent Interfaces: Lessons from Chrome DevTools (MCP) for Agents — Michael Hablich, Google	_B4Pv9ttFgY	3306
building-an-autonomous-engineering-org-angie-jones-agentic-ai-foundati.txt	Building an Autonomous Engineering Org - Angie Jones, Agentic AI Foundation	whue9_YquGA	2725
